dda_agent_name,game_id,survival_time_steps,total_kills,avg_health_percent,health_std,min_health,time_in_flow_zone_percent,time_in_danger_zone_percent,time_in_safety_zone_percent,near_death_count,near_death_time_percent,action_do_nothing_count,action_slightly_easier_count,action_much_easier_count,action_slightly_harder_count,action_much_harder_count,action_oscillations
RL_best_dda_model_2,1,4800,25,91.25,25.464435984329203,0.0,6.25,6.25,87.5,1,6.25,0,1,0,0,0,0
RL_best_dda_model_2,2,5700,34,69.73684210526316,25.622445146606495,0.0,26.31578947368421,5.263157894736842,68.42105263157895,1,5.263157894736842,0,0,0,0,0,0
RL_best_dda_model_2,3,4800,25,90.3125,28.85679891723959,-15.0,6.25,6.25,87.5,1,6.25,0,0,0,0,0,0
RL_best_dda_model_2,4,5100,29,91.76470588235294,24.78977353612409,0.0,5.88235294117647,5.88235294117647,88.23529411764706,1,5.88235294117647,0,0,0,0,0,0
RL_best_dda_model_2,5,4800,27,88.75,27.35758578529911,0.0,6.25,6.25,87.5,1,6.25,0,1,0,0,0,0
RL_best_dda_model_2,6,6300,37,95.23809523809524,21.295885499997997,0.0,0.0,4.761904761904762,95.23809523809523,1,4.761904761904762,0,0,0,0,0,0
RL_best_dda_model_2,7,6900,41,84.78260869565217,27.08594456899569,-10.0,26.08695652173913,4.3478260869565215,69.56521739130434,1,4.3478260869565215,0,0,0,0,0,0
RL_best_dda_model_2,8,3300,18,90.9090909090909,28.74797872880345,0.0,0.0,9.090909090909092,90.9090909090909,1,9.090909090909092,0,0,0,0,0,0
RL_best_dda_model_2,9,4500,25,73.0,29.597297173897484,-5.0,46.666666666666664,6.666666666666667,46.666666666666664,1,6.666666666666667,0,0,0,0,0,0
RL_best_dda_model_2,10,4800,25,88.75,29.973947020704497,0.0,0.0,12.5,87.5,1,6.25,0,1,0,0,0,0
RL_best_dda_model_2,11,5400,29,90.55555555555556,27.176832908077795,0.0,5.555555555555555,5.555555555555555,88.88888888888889,1,5.555555555555555,0,0,0,0,0,0
RL_best_dda_model_2,12,4800,25,93.75,24.206145913796355,0.0,0.0,6.25,93.75,1,6.25,0,0,0,0,1,0
RL_best_dda_model_2,13,5700,31,90.52631578947368,25.230241714119757,0.0,5.263157894736842,5.263157894736842,89.47368421052632,1,5.263157894736842,0,1,0,0,0,0
RL_best_dda_model_2,14,5100,27,86.17647058823529,25.64058202082749,0.0,5.88235294117647,5.88235294117647,88.23529411764706,1,5.88235294117647,0,0,0,0,0,0
RL_best_dda_model_2,15,5100,28,86.47058823529412,30.71523409541806,-5.0,5.88235294117647,11.76470588235294,82.35294117647058,1,5.88235294117647,0,0,0,0,0,0
RL_best_dda_model_2,16,5100,29,88.23529411764706,23.32262070776354,0.0,5.88235294117647,5.88235294117647,88.23529411764706,1,5.88235294117647,0,0,0,0,0,0
