timestep,episode,episode_reward,episode_length,zombies_killed,wave,has_machinegun,mg_ammo,weapon,policy_loss,value_loss,entropy_loss,total_loss,clip_fraction,approx_kl,fps,elapsed_time
2203,1,-1142.3999999999992,2203,38,4,False,0,pistol,,,,,,,125.07468178282295,17.613479375839233
2496,2,-167.94999999999987,293,3,1,False,0,pistol,,,,,,,234.32665671469329,18.887962579727173
3653,3,-384.70000000000175,1157,18,2,True,45,machinegun,,,,,,,205.88646797695017,24.53105854988098
5062,4,-527.3000000000019,1409,23,3,False,0,pistol,,,,,,,125.21245532250059,35.784470558166504
6431,5,-414.95000000000044,1369,23,3,False,0,pistol,,,,,,,123.42288846291554,46.876880168914795
8462,6,-573.0499999999965,2031,31,4,False,0,pistol,,,,,,,149.84517071690058,60.43134331703186
9539,7,-345.0499999999998,1077,13,1,False,0,pistol,,,,,,,242.71247998088933,64.869136095047
10499,8,-249.89999999999992,960,16,2,True,24,machinegun,,,,,,,100.293501323931,74.44154357910156
12077,9,-523.2999999999985,1578,26,3,False,0,pistol,,,,,,,244.75468742523154,80.88934540748596
13363,10,-498.5500000000023,1286,19,2,False,0,pistol,,,,,,,116.46644246320706,91.93161845207214
14465,11,-32.400000000000816,1102,19,2,True,22,machinegun,,,,,,,106.57737144077772,102.27205395698547
15769,12,-200.6000000000002,1304,18,2,False,0,pistol,,,,,,,227.95117134084094,108.02003526687622
17335,13,-302.75000000000216,1566,23,3,False,0,pistol,,,,,,,128.1668589542881,120.23900866508484
18836,14,-416.25000000000273,1501,23,3,True,30,machinegun,,,,,,,114.25216297655176,133.37713718414307
21025,15,-792.1499999999938,2189,36,4,False,0,pistol,,,,,,,141.67256121133892,148.82873368263245
22875,16,-260.25000000000006,1850,29,3,False,0,pistol,,,,,,,137.94126285193659,162.24072074890137
25253,17,-259.55000000000075,2378,44,5,False,0,pistol,,,,,,,157.83615500963248,177.3074905872345
27497,18,-78.10000000000359,2244,42,5,False,0,pistol,,,,,,,148.3770242184509,192.43163180351257
29726,19,-552.6000000000035,2229,38,4,False,0,pistol,,,,,,,139.24925266995083,208.43936705589294
31451,20,-218.94999999999982,1725,28,3,False,0,pistol,,,,,,,136.18605273102264,221.10631394386292
32890,21,-486.75000000000074,1439,24,2,False,0,pistol,,,,,,,126.56222310204636,232.47679448127747
35340,22,-435.84999999999127,2450,44,5,False,0,pistol,,,,,,,160.58717265386773,247.73392271995544
36546,23,-473.9500000000001,1206,19,2,True,2,machinegun,,,,,,,241.03156597140736,252.73789739608765
37670,24,-765.6499999999997,1124,18,2,False,0,pistol,,,,,,,114.49304541352448,262.5556049346924
38924,25,-299.9,1254,18,2,False,0,pistol,,,,,,,110.45733779794868,273.9088625907898
39939,26,-407.09999999999945,1015,15,2,False,0,pistol,,,,,,,228.33552324660246,278.35456228256226
41105,27,-368.1500000000007,1166,18,2,True,19,machinegun,,,,,,,103.16883848486458,289.65693759918213
41790,28,-196.49999999999974,685,9,1,False,0,pistol,,,,,,,218.7281571469627,292.7891483306885
42838,29,-353.4500000000007,1048,14,1,False,0,pistol,,,,,,,206.64453710695335,297.86107563972473
43174,30,-305.2499999999998,336,4,1,False,0,pistol,,,,,,,47.352359315103364,304.9572858810425
44126,31,-281.2500000000007,952,14,2,False,0,pistol,,,,,,,218.84911613614958,309.3079152107239
44956,32,-521.4500000000014,830,11,2,False,0,pistol,,,,,,,231.5296287189738,312.8932559490204
45870,33,-434.9999999999999,914,13,2,True,112,machinegun,,,,,,,98.1747286073643,322.20367074012756
47011,34,-663.2499999999987,1141,18,2,False,0,pistol,,,,,,,246.31267637921204,326.8364679813385
47984,35,-191.400000000001,973,16,2,False,0,pistol,,,,,,,90.33016929152402,337.6084942817688
48978,36,-718.2500000000002,994,15,2,False,0,pistol,,,,,,,183.83373973250497,343.01636362075806
49947,37,-281.30000000000126,969,14,1,True,21,machinegun,,,,,,,86.13393206977248,354.26679158210754
51093,38,-505.1500000000012,1146,16,2,False,0,pistol,,,,,,,221.4674494379817,359.4419581890106
51791,39,-285.1499999999995,698,9,1,False,0,pistol,,,,,,,70.32892269381186,369.3674101829529
52905,40,-283.45000000000147,1114,17,2,False,0,pistol,,,,,,,192.93574774652163,375.14199805259705
54150,41,-711.6499999999999,1245,20,2,True,50,machinegun,,,,,,,102.0553167491384,387.3416929244995
54763,42,-342.1000000000005,613,10,2,False,0,pistol,,,,,,,204.96182434005235,390.3330352306366
56080,43,-289.30000000000047,1317,18,2,False,0,pistol,,,,,,,105.44936751836669,402.82294821739197
57401,44,-557.5000000000016,1321,19,2,False,0,pistol,,,,,,,101.95339840454658,415.78035044670105
58053,45,-50.300000000000324,652,10,1,False,0,pistol,,,,,,,196.9733788203175,419.0908977985382
60152,46,-742.1499999999995,2099,36,4,True,49,machinegun,,,,,,,137.5634514999932,434.3498594760895
61265,47,-184.89999999999975,1113,17,2,False,0,pistol,,,,,,,188.68545960111095,440.24925565719604
63088,48,-288.0000000000023,1823,31,4,False,0,pistol,,,,,,,131.820572551278,454.07933735847473
65597,49,-360.45000000000226,2509,46,5,False,0,pistol,,,,,,,109.51271648828065,476.99049973487854
67178,50,-243.24999999999955,1581,27,3,False,0,pistol,,,,,,,239.03784895176275,483.604966878891
69064,51,-346.5000000000028,1886,31,4,False,0,pistol,,,,,,,135.98502924050598,497.4746060371399
71784,52,-671.2999999999973,2720,52,6,False,0,pistol,,,,,,,114.36799807203049,521.2582898139954
73171,53,-366.25000000000125,1387,21,3,False,0,pistol,,,,,,,220.12560150010071,527.5597198009491
74236,54,-353.8000000000008,1065,15,2,False,0,pistol,,,,,,,105.94674246054534,537.6124107837677
