timestep,episode,episode_reward,episode_length,zombies_killed,wave,has_machinegun,mg_ammo,weapon,curriculum_stage,kill_streak,policy_loss,value_loss,entropy_loss,total_loss,clip_fraction,approx_kl,fps,elapsed_time
4978,1,2305.20921138942,4978,62,7,False,0,pistol,1,1,,,,,,,524.5937407775072,9.489248991012573
6792,2,1446.809453859799,1814,21,3,True,38,machinegun,1,1,,,,,,,470.8759026114183,13.355767011642456
8127,3,402.5858407353059,1335,14,1,False,0,pistol,1,1,,,,,,,901.573583104749,14.836785316467285
9238,4,364.6472584555018,1111,13,2,False,0,pistol,1,1,,,,,,,412.43004042545186,17.530843257904053
10669,5,452.12477562109433,1431,15,2,False,0,pistol,1,1,,,,,,,427.27451515559227,20.880260467529297
11547,6,408.8570948176838,878,8,1,False,0,pistol,1,1,,,,,,,834.174978820566,21.933004140853882
13071,7,1197.6082434128468,1524,15,2,False,0,pistol,1,1,,,,,,,459.7943721701271,25.247747898101807
13801,8,837.2200000000051,730,9,1,True,64,pistol,1,1,,,,,,,750.917829848244,26.220154762268066
15556,9,592.9910832902242,1755,21,3,True,43,machinegun,1,1,,,,,,,493.8750744234023,29.773860216140747
16861,10,1155.9300000000128,1305,15,2,False,0,pistol,1,1,,,,,,,409.5158180711026,32.96087336540222
18487,11,1469.0650000000046,1626,19,2,True,33,machinegun,1,1,,,,,,,445.77898091257794,36.608891248703
21417,12,2397.9397535317394,2930,33,4,False,0,pistol,1,2,,,,,,,557.206318230714,41.867541551589966
25025,13,1165.1400000000106,3608,42,4,True,49,machinegun,1,1,,,,,,,486.7483121470539,49.28731966018677
27031,14,2079.455000000011,2006,23,3,False,0,pistol,1,1,,,,,,,468.4374581880214,53.56998372077942
29233,15,738.6791088954658,2202,27,3,False,0,pistol,1,1,,,,,,,560.8965962415583,57.49622869491577
30704,16,1229.434402464347,1471,16,1,False,0,pistol,1,1,,,,,,,842.4926247669423,59.242621421813965
32379,17,1416.3567320623747,1675,20,3,False,0,pistol,1,1,,,,,,,471.09204067421103,62.79854154586792
34937,18,2490.5520708473214,2558,29,2,False,0,pistol,1,1,,,,,,,431.392814822502,68.72852540016174
37041,19,648.9950000000129,2104,24,3,False,0,pistol,1,1,,,,,,,514.1555135897491,72.83175301551819
39017,20,624.309359757554,1976,21,1,False,0,pistol,1,1,,,,,,,454.82743738480383,77.17655420303345
41715,21,902.1550000000195,2698,33,3,False,0,pistol,1,1,,,,,,,507.9320422776074,82.48866152763367
44981,22,2165.1187615704466,3266,38,4,False,0,pistol,1,1,,,,,,,534.6522277044651,88.5976734161377
45901,23,244.06469361620123,920,11,2,False,0,pistol,1,1,,,,,,,307.74194896445044,91.5875015258789
47634,24,803.4421903404992,1733,18,2,True,34,machinegun,1,2,,,,,,,455.5782610676774,95.39177870750427
48619,25,314.78108268371363,985,12,1,False,0,pistol,1,3,,,,,,,830.9924405120008,96.57749509811401
49994,26,622.5886501225639,1375,15,2,False,0,pistol,1,1,,,,,,,440.67955132227524,99.69795107841492
51621,27,1480.505,1627,17,2,True,30,machinegun,1,1,,,,,,,480.3970018290493,103.08507013320923
52852,28,402.79661324181666,1231,13,2,False,0,pistol,1,1,,,,,,,821.7419983342944,104.58342981338501
54596,29,591.8393848602482,1744,18,1,False,0,pistol,1,1,,,,,,,485.10763127060335,108.1788375377655
57506,30,2745.809982616179,2910,34,4,True,13,machinegun,1,2,,,,,,,437.95774330253863,114.82375979423523
58835,31,670.1700000000083,1329,16,2,False,0,pistol,1,1,,,,,,,830.4070191078096,116.43314862251282
