timestep,episode,episode_reward,episode_length,zombies_killed,wave,has_machinegun,mg_ammo,weapon,policy_loss,value_loss,entropy_loss,total_loss,clip_fraction,approx_kl,fps,elapsed_time
1651832,1,-438.0000000000013,1144,16,2,False,0,pistol,,,,,,,214.7247624943581,5.327753067016602
1652172,2,-141.99999999999974,340,2,1,False,0,pistol,,,,,,,272.886393601041,6.598328590393066
1652972,3,-269.9499999999999,800,9,1,True,30,machinegun,,,,,,,73.34825534543613,17.526009798049927
1653823,4,-279.5499999999999,851,10,2,False,0,pistol,,,,,,,141.2520607050785,23.551435470581055
1654487,5,-163.40000000000038,664,8,1,True,47,machinegun,,,,,,,174.23639316337062,27.362802505493164
1655254,6,-396.6,767,10,1,False,0,pistol,,,,,,,73.17250522784849,37.84543561935425
1656152,7,-365.7,898,13,2,True,17,machinegun,,,,,,,203.06171774562156,42.26827955245972
1658055,8,-416.9000000000029,1903,31,4,False,0,pistol,,,,,,,106.92477103587625,60.06638169288635
1659157,9,-367.8000000000003,1102,16,2,True,25,machinegun,,,,,,,76.70519317843124,74.43356013298035
1660110,10,-318.30000000000007,953,13,2,False,0,pistol,,,,,,,170.4772057201282,80.02422070503235
1660997,11,-272.9000000000002,887,10,1,False,0,pistol,,,,,,,87.68296181582365,90.14070701599121
1661703,12,-392.5000000000011,706,9,1,False,0,pistol,,,,,,,207.79716739231057,93.53879451751709
1662808,13,-190.49999999999963,1105,15,2,False,0,pistol,,,,,,,183.04291524863584,99.57609033584595
1664121,14,-217.2500000000021,1313,22,3,True,25,machinegun,,,,,,,97.69510530438514,113.01647424697876
1664844,15,-236.5999999999999,723,11,2,True,70,machinegun,,,,,,,222.56475935779426,116.26541543006897
1666762,16,-210.25000000000162,1918,32,4,False,0,pistol,,,,,,,106.99948079547093,134.19123101234436
1667554,17,-346.7500000000004,792,12,2,False,0,pistol,,,,,,,67.06758830282712,146.0007541179657
1668336,18,-229.6999999999997,782,10,2,False,0,pistol,,,,,,,201.13375873827195,149.88956212997437
1668871,19,-154.80000000000032,535,5,1,False,0,pistol,,,,,,,211.16632710580276,152.4235646724701
1669873,20,-292.90000000000106,1002,14,2,False,0,pistol,,,,,,,92.84572180556538,163.21617007255554
1670454,21,-205.39999999999966,581,7,1,False,0,pistol,,,,,,,231.56191043254609,165.7256646156311
1670887,22,-214.8499999999999,433,6,1,False,0,pistol,,,,,,,250.16104061539497,167.4569616317749
1671865,23,-240.2500000000001,978,12,2,False,0,pistol,,,,,,,90.39405050091322,178.2766695022583
1672643,24,-337.9499999999996,778,10,2,True,33,machinegun,,,,,,,211.0715790657043,181.96327567100525
1673214,25,-289.00000000000034,571,6,1,False,0,pistol,,,,,,,223.67580177388598,184.5165820121765
1674135,26,-345.20000000000044,921,12,2,False,0,pistol,,,,,,,71.60266531168021,197.3798122406006
1674848,27,-115.70000000000027,713,8,1,False,0,pistol,,,,,,,149.45463144930483,202.15113472938538
1676072,28,-659.2500000000032,1224,17,2,False,0,pistol,,,,,,,78.55409741578968,217.76612424850464
1676751,29,-260.5500000000002,679,10,2,False,0,pistol,,,,,,,185.58300061078327,221.42531657218933
1677460,30,-261.1000000000003,709,8,1,False,0,pistol,,,,,,,59.39237479362041,233.36357164382935
1678603,31,-232.70000000000022,1143,15,2,True,48,machinegun,,,,,,,139.9199923579543,241.53298425674438
