timestep,episode,episode_reward,episode_length,zombies_killed,wave,has_machinegun,mg_ammo,weapon,policy_loss,value_loss,entropy_loss,total_loss,clip_fraction,approx_kl,fps,elapsed_time
3727,1,2629.233,3727,76,8,False,0,pistol,,,,,,,974.5114923708467,3.824481248855591
6376,2,1248.7400000000125,2649,50,6,False,0,pistol,,,,,,,642.948979159602,7.948321580886841
8198,3,1574.8700000000065,1822,32,4,False,0,pistol,,,,,,,776.2991813124742,10.295450210571289
10913,4,1399.5299999999893,2715,52,6,False,0,pistol,,,,,,,922.8051373851005,13.237668514251709
13634,5,2102.5310000000013,2721,53,5,False,0,pistol,,,,,,,950.4420703173992,16.10064148902893
16312,6,2246.0140000000133,2678,48,5,False,0,pistol,,,,,,,937.0874391103816,18.95854139328003
19008,7,1357.652000000006,2696,51,6,False,0,pistol,,,,,,,640.183614537555,23.16991376876831
21251,8,1291.5500000000068,2243,40,5,False,0,pistol,,,,,,,854.145549925506,25.796003341674805
23483,9,1530.9349999999977,2232,40,5,False,0,pistol,,,,,,,839.1742872404575,28.455847024917603
25979,10,1672.3780000000036,2496,44,5,False,0,pistol,,,,,,,915.0237714284516,31.183719635009766
27833,11,1532.9540000000002,1854,34,4,False,0,pistol,,,,,,,780.3848852856521,33.55954313278198
30724,12,2771.366999999973,2891,56,6,False,0,pistol,,,,,,,669.3130781170041,37.878971338272095
33224,13,1974.0519999999995,2500,47,5,False,0,pistol,,,,,,,910.3193387558447,40.635289907455444
35611,14,2316.489999999991,2387,45,5,False,0,pistol,,,,,,,876.8943569445186,43.35749077796936
38695,15,3787.0309999999954,3084,63,7,False,0,pistol,,,,,,,981.3366964971957,46.500224351882935
43118,16,3998.625000000041,4423,92,10,False,0,pistol,,,,,,,665.8330778594519,53.14677929878235
45703,17,2673.8800000000106,2585,49,5,False,0,pistol,,,,,,,913.320402959312,55.98409295082092
48535,18,2218.0430000000147,2832,57,6,False,0,pistol,,,,,,,975.1562388554923,58.888320207595825
52076,19,3581.010000000002,3541,69,7,False,0,pistol,,,,,,,747.0574970526701,63.62832450866699
55142,20,3547.6409999999605,3066,60,7,False,0,pistol,,,,,,,916.0453598500903,66.97540140151978
58353,21,2914.9970000000226,3211,67,7,False,0,pistol,,,,,,,705.7823044291856,71.52503228187561
61463,22,2421.958000000003,3110,63,7,False,0,pistol,,,,,,,678.3772472964835,76.10958623886108
66178,23,5766.049999999989,4715,92,10,False,0,pistol,,,,,,,872.9583494709096,81.5109133720398
67633,24,1082.4449999999993,1455,26,3,False,0,pistol,,,,,,,668.3333610769183,83.69901943206787
72015,25,4177.634999999999,4382,83,9,False,0,pistol,,,,,,,831.6956527464419,88.96785497665405
75519,26,2810.1250000000055,3504,75,8,True,99,machinegun,,,,,,,996.1273641590085,92.48555612564087
78588,27,2735.6350000000048,3069,61,7,False,0,pistol,,,,,,,689.9265436174505,96.93393063545227
84591,28,6482.639999999987,6003,134,14,False,0,pistol,,,,,,,689.8790939708753,105.63555145263672
87651,29,2091.7349999999924,3060,61,7,False,0,pistol,,,,,,,868.943098942386,109.16128611564636
91796,30,4393.946000000016,4145,110,12,False,0,pistol,,,,,,,706.5665804472927,115.02776789665222
94891,31,3914.3959999999984,3095,65,6,False,0,pistol,,,,,,,647.1671023366248,119.81022548675537
97041,32,1782.4890000000119,2150,40,5,False,0,pistol,,,,,,,692.7833936404772,122.91372656822205
100858,33,3377.5120000000006,3817,78,8,True,50,machinegun,,,,,,,612.5348644608564,129.1452920436859
104202,34,4315.673000000009,3344,69,7,False,0,pistol,,,,,,,888.5202048789147,132.9089527130127
109150,35,5342.118000000011,4948,126,13,True,345,machinegun,,,,,,,626.5720767608314,140.80597019195557
113495,36,4055.010999999993,4345,85,8,True,48,machinegun,,,,,,,766.5798210651334,146.47408366203308
114298,37,352.9299999999992,803,13,2,False,0,pistol,,,,,,,1668.5324122788766,146.9554319381714
