timestep,episode,episode_reward,episode_length,zombies_killed,wave,policy_loss,value_loss,entropy_loss,total_loss,clip_fraction,approx_kl,fps,elapsed_time
2353,1,177.72000000000895,2353,42,5,,,,,,,367.71687417471213,6.3989458084106445
3378,2,25.13999999999931,1025,16,3,,,,,,,893.3460171647315,7.555098295211792
5028,3,106.97999999999995,1650,25,2,,,,,,,324.186142181584,12.644909381866455
7741,4,245.9900000000159,2713,49,5,,,,,,,425.3405643660857,19.023518085479736
10080,5,171.30000000000825,2339,41,7,,,,,,,382.1111003524521,25.158186197280884
12592,6,200.99000000001178,2512,41,5,,,,,,,296.07057816073035,33.64280819892883
13615,7,40.2299999999992,1023,16,2,,,,,,,944.6996686881212,34.72586131095886
14603,8,26.549999999999557,988,14,2,,,,,,,252.175628839786,38.643943786621094
16033,9,84.08000000000007,1430,23,3,,,,,,,948.0332606827427,40.15257906913757
18075,10,129.76000000000565,2042,34,4,,,,,,,399.1346196020886,45.2688684463501
19264,11,62.76999999999885,1189,20,4,,,,,,,281.7930833090361,49.4885048866272
20518,12,49.769999999998774,1254,21,3,,,,,,,294.3275696583339,53.74929332733154
21443,13,29.869999999999443,925,13,2,,,,,,,917.9797367960288,54.757164478302
22337,14,26.419999999999696,894,14,2,,,,,,,911.233093121671,55.73842763900757
23587,15,49.10999999999876,1250,19,4,,,,,,,288.02361287334054,60.07853317260742
24281,16,4.5699999999998795,694,9,1,,,,,,,911.1256690208187,60.84045076370239
25142,17,22.19999999999986,861,12,1,,,,,,,224.35063971970828,64.6783504486084
26183,18,32.59999999999959,1041,13,1,,,,,,,929.5457076744935,65.79840660095215
26905,19,7.869999999999855,722,9,1,,,,,,,192.38157970051165,69.55154418945312
27262,20,-31.590000000000053,357,5,1,,,,,,,899.8310318241066,69.94850564002991
27921,21,-14.160000000000082,659,9,1,,,,,,,931.7945056734344,70.65596127510071
28893,22,34.97999999999938,972,12,3,,,,,,,248.80565247759714,74.5627954006195
29607,23,11.57999999999975,714,11,2,,,,,,,928.0575267216072,75.33238792419434
30230,24,-3.020000000000117,623,7,1,,,,,,,927.4582188822236,76.00431823730469
30638,25,-30.920000000000115,408,7,1,,,,,,,906.6867465474901,76.45450162887573
31438,26,16.159999999999563,800,11,3,,,,,,,210.19680028134462,80.26065301895142
31923,27,-17.740000000000098,485,7,1,,,,,,,909.96652215067,80.79393458366394
32499,28,-3.0200000000000387,576,8,1,,,,,,,929.5071077356356,81.41380906105042
33747,29,54.37999999999887,1248,20,3,,,,,,,294.34261773217986,85.65401816368103
34851,30,48.819999999999006,1104,17,2,,,,,,,270.0248142297501,89.74276328086853
35948,31,53.109999999998955,1097,17,2,,,,,,,940.7616684035733,90.90899014472961
37268,32,61.83999999999857,1320,21,5,,,,,,,306.09545168209047,95.2215507030487
38526,33,65.36999999999885,1258,21,4,,,,,,,909.3489318528734,96.60517454147339
39629,34,53.86999999999907,1103,17,2,,,,,,,269.95666646573994,100.69119191169739
40737,35,49.50999999999908,1108,16,3,,,,,,,923.2775312612434,101.89148283004761
42035,36,59.48999999999897,1298,19,2,,,,,,,299.59510476653463,106.22424173355103
43134,37,48.589999999999144,1099,15,2,,,,,,,267.4620751128167,110.33345484733582
43965,38,19.549999999999628,831,12,2,,,,,,,925.2610291082394,111.23179793357849
45708,39,102.71000000000059,1743,26,3,,,,,,,358.82968622123457,116.08945083618164
46694,40,21.28999999999943,986,14,2,,,,,,,917.5020807829193,117.16430854797363
