timestep,episode,episode_reward,episode_length,zombies_killed,wave,has_machinegun,mg_ammo,weapon,policy_loss,value_loss,entropy_loss,total_loss,clip_fraction,approx_kl,fps,elapsed_time
3385,1,1379.136999999997,3385,67,7,False,0,pistol,,,,,,,90.1515905054159,37.54786992073059
6864,2,1623.7789999999927,3479,72,8,False,0,pistol,,,,,,,83.04893858277659,79.46524500846863
9233,3,1456.9920000000056,2369,43,5,False,0,pistol,,,,,,,96.07567126068784,104.15698194503784
12293,4,1741.117000000006,3060,62,7,True,44,machinegun,,,,,,,75.74342873508606,144.55705332756042
14424,5,1405.889999999997,2131,39,4,False,0,pistol,,,,,,,85.50721657548128,169.51750540733337
15682,6,969.3800000000012,1258,22,3,False,0,pistol,,,,,,,139.4028988290143,178.54218649864197
17705,7,1191.9049999999936,2023,35,4,False,0,pistol,,,,,,,76.61730292492862,204.94667029380798
19399,8,1034.0460000000019,1694,32,4,True,48,machinegun,,,,,,,72.36835989718554,228.35523200035095
23305,9,3242.5329999999935,3906,79,8,False,0,pistol,,,,,,,72.61864084681804,282.14361929893494
25729,10,1627.7979999999936,2424,42,5,False,0,pistol,,,,,,,78.68700007657418,312.9892783164978
27967,11,1712.7050000000045,2238,40,4,False,0,pistol,,,,,,,84.67655417275203,339.41974687576294
31424,12,3095.741999999965,3457,72,8,False,0,pistol,,,,,,,76.52635554619957,384.594224691391
33371,13,1770.5299999999995,1947,35,4,False,0,pistol,,,,,,,83.25614442661791,407.9804599285126
36861,14,3417.6700000000133,3490,72,8,False,0,pistol,,,,,,,102.5141579265105,442.0250599384308
38553,15,922.5450000000013,1692,29,3,False,0,pistol,,,,,,,77.65871656034405,463.8420877456665
41180,16,2380.268000000004,2627,49,5,False,0,pistol,,,,,,,72.28330052625051,500.18563175201416
42988,17,1694.212000000004,1808,31,4,False,0,pistol,,,,,,,145.56209855764888,512.6068601608276
44234,18,694.8200000000039,1246,21,3,False,0,pistol,,,,,,,78.11920726677899,528.5573019981384
45327,19,652.4699999999998,1093,18,2,False,0,pistol,,,,,,,59.37242553675142,546.9670445919037
46798,20,1545.5660000000037,1471,25,3,False,0,pistol,,,,,,,96.66698530616105,562.1849241256714
48803,21,1946.8600000000047,2005,35,4,False,0,pistol,,,,,,,65.09795146088113,592.9854362010956
49906,22,567.4700000000006,1103,18,1,False,0,pistol,,,,,,,53.02787010310004,613.7862377166748
51088,23,698.3390000000012,1182,20,3,False,0,pistol,,,,,,,104.02924949862532,625.1489818096161
52547,24,1215.1000000000065,1459,24,2,False,0,pistol,,,,,,,80.48118210099658,643.2780630588531
54703,25,1661.7100000000055,2156,37,3,False,0,pistol,,,,,,,96.88217488375106,665.5324106216431
58029,26,3871.9330000000127,3326,63,6,False,0,pistol,,,,,,,88.1183625638705,703.2775752544403
59047,27,1187.853000000001,1018,18,2,False,0,pistol,,,,,,,100.96338616013259,713.3868458271027
60332,28,887.5930000000009,1285,21,1,False,0,pistol,,,,,,,50.218073398314715,738.975683927536
61388,29,666.8699999999983,1056,16,1,False,0,pistol,,,,,,,106.99248508834906,748.8460252285004
63408,30,2412.4089999999965,2020,36,4,True,46,machinegun,,,,,,,68.17689762751876,778.4754390716553
64803,31,1269.7010000000018,1395,24,3,False,0,pistol,,,,,,,60.38522361744066,801.5776159763336
67062,32,2218.0300000000025,2259,40,4,False,0,pistol,,,,,,,81.37365839112873,829.3392064571381
69358,33,1963.8309999999865,2296,42,5,False,0,pistol,,,,,,,99.70179894760545,852.368319272995
72007,34,1808.89400000001,2649,51,5,True,49,machinegun,,,,,,,78.79557808802494,885.9874091148376
73916,35,1756.1649999999956,1909,35,4,False,0,pistol,,,,,,,68.0516530992446,914.0401034355164
76228,36,1912.0499999999954,2312,43,4,False,0,pistol,,,,,,,71.41479983431748,946.4147942066193
78063,37,1318.3950000000011,1835,33,4,False,0,pistol,,,,,,,61.745478017218176,976.1339793205261
79118,38,598.2199999999993,1055,18,2,False,0,pistol,,,,,,,88.42862758622054,988.0651655197144
80759,39,1778.6650000000047,1641,28,3,False,0,pistol,,,,,,,71.82532542274329,1010.9128630161285
82795,40,1584.9600000000091,2036,35,4,False,0,pistol,,,,,,,98.14459637617672,1031.6581811904907
83604,41,609.6229999999999,809,14,2,True,49,machinegun,,,,,,,152.17338371229673,1036.9749126434326
86302,42,3156.5950000000043,2698,52,5,False,0,pistol,,,,,,,78.14159532778642,1071.502379655838
87331,43,664.729999999999,1029,18,2,False,0,pistol,,,,,,,152.71630340064328,1078.2408487796783
90990,44,4040.0190000000166,3659,79,8,False,0,pistol,,,,,,,89.2245452384614,1119.2501566410065
93296,45,2767.7599999999893,2306,43,5,False,0,pistol,,,,,,,99.72422626037552,1142.400809288025
94725,46,1004.0399999999956,1429,24,3,False,0,pistol,,,,,,,65.67030473449023,1164.1614661216736
96086,47,1478.0550000000035,1361,23,3,False,0,pistol,,,,,,,111.70692093770252,1176.345644235611
98465,48,2549.523000000007,2379,46,5,True,25,machinegun,,,,,,,67.13326291984818,1211.7830183506012
103459,49,5056.092999999995,4994,116,12,True,156,machinegun,,,,,,,85.5312096191543,1270.1715776920319
106978,50,2164.160999999985,3519,72,8,False,0,pistol,,,,,,,65.57471399321842,1323.8675746917725
108910,51,1712.5499999999904,1932,33,4,False,0,pistol,,,,,,,70.24694056470324,1351.3709590435028
113720,52,4929.195999999965,4810,107,11,False,0,pistol,,,,,,,74.82262364169597,1415.6567888259888
116519,53,2659.436000000013,2799,50,6,False,0,pistol,,,,,,,102.20656740570026,1443.042906999588
118188,54,1808.8690000000033,1669,27,3,False,0,pistol,,,,,,,83.72586611555987,1462.9775009155273
120563,55,2260.499999999997,2375,42,5,False,0,pistol,,,,,,,94.96359947248843,1487.9875111579895
122800,56,2225.9489999999987,2237,39,4,True,50,machinegun,,,,,,,84.63971932543609,1514.4176940917969
125255,57,2887.9750000000063,2455,47,5,False,0,pistol,,,,,,,64.13517982813829,1552.69664645195
128168,58,2747.231999999977,2913,57,6,False,0,pistol,,,,,,,96.55729555273714,1582.8657431602478
130596,59,2216.700000000004,2428,45,5,False,0,pistol,,,,,,,99.30558835993655,1607.3159794807434
132691,60,2334.3100000000104,2095,37,4,False,0,pistol,,,,,,,98.93283593550119,1628.4924130439758
133855,61,1072.9320000000007,1164,20,3,False,0,pistol,,,,,,,74.55890566361784,1644.104655265808
134929,62,1159.0399999999997,1074,18,2,False,0,pistol,,,,,,,152.36919496716644,1651.1537339687347
138277,63,3651.4199999999887,3348,69,7,False,0,pistol,,,,,,,88.73226696910409,1688.885624408722
139622,64,1151.8029999999953,1345,23,3,True,46,machinegun,,,,,,,76.99821472053006,1706.3540184497833
140761,65,769.3999999999994,1139,20,2,False,0,pistol,,,,,,,145.59468649786385,1714.1776070594788
142829,66,2260.506999999994,2068,38,4,False,0,pistol,,,,,,,97.53245952757781,1735.381269454956
145866,67,3491.2510000000048,3037,60,5,True,77,machinegun,,,,,,,84.66917254760895,1771.2507236003876
147913,68,2388.4850000000038,2047,37,4,False,0,pistol,,,,,,,74.25529710511387,1798.8182680606842
150378,69,2667.2080000000024,2465,47,4,True,41,machinegun,,,,,,,85.79074237164498,1827.5514931678772
153520,70,3165.790000000001,3142,60,7,False,0,pistol,,,,,,,97.20647366265784,1859.8749251365662
154838,71,1092.3099999999972,1318,23,3,False,0,pistol,,,,,,,79.19575185521677,1876.5176446437836
156813,72,1898.2150000000038,1975,35,4,False,0,pistol,,,,,,,96.78424764839555,1896.9243156909943
159044,73,2607.597999999989,2231,41,5,False,0,pistol,,,,,,,97.72582775098121,1919.7539937496185
160565,74,1375.652000000003,1521,28,3,True,11,machinegun,,,,,,,83.19198644899662,1938.0374827384949
162188,75,989.7400000000076,1623,28,3,False,0,pistol,,,,,,,87.89240310746109,1956.50372838974
