timestep,episode,episode_reward,episode_length,zombies_killed,wave,has_machinegun,mg_ammo,weapon,policy_loss,value_loss,entropy_loss,total_loss,clip_fraction,approx_kl,fps,elapsed_time
3152,1,2027.0345473712578,3152,65,7,True,48,machinegun,,,,,,,44.611574003934194,70.65431118011475
6240,2,1431.8932654444598,3088,54,6,False,0,pistol,,,,,,,32.53533184641899,165.62402534484863
7239,3,155.95580252319334,999,17,1,False,0,pistol,,,,,,,62.124049197044705,181.7048282623291
9977,4,631.0246482234921,2738,50,5,False,0,pistol,,,,,,,41.090868514000825,248.3377206325531
13660,5,1686.7662587247405,3683,67,7,False,0,pistol,,,,,,,35.01247814043539,353.5288817882538
15324,6,1332.151073651089,1664,30,4,False,0,pistol,,,,,,,33.420462060946235,403.3188202381134
18395,7,1987.0763498763326,3071,56,6,False,0,pistol,,,,,,,42.486758445997594,475.60027146339417
21690,8,1815.5149575992193,3295,65,7,False,0,pistol,,,,,,,32.75515018937374,576.1952271461487
25024,9,2280.578235413062,3334,63,7,False,0,pistol,,,,,,,31.593942398085865,681.721887588501
28144,10,2779.900970784154,3120,61,7,False,0,pistol,,,,,,,36.61909166896462,767.2742440700531
31114,11,2588.9812297639046,2970,53,6,True,50,machinegun,,,,,,,27.636199656794272,874.9705276489258
34115,12,1947.1727639661133,3001,59,6,False,0,pistol,,,,,,,37.78103248803677,954.4019966125488
37309,13,2749.1181580539064,3194,60,6,False,0,pistol,,,,,,,30.352016475332224,1059.6339819431305
39905,14,999.1660773011968,2596,47,5,False,0,pistol,,,,,,,37.28692117894319,1129.256326675415
45203,15,1247.8052856788531,5298,127,13,True,177,machinegun,,,,,,,30.453320961945227,1303.2275857925415
46693,16,781.3010432859393,1490,26,3,False,0,pistol,,,,,,,61.08801602136077,1327.6187052726746
48170,17,872.3139214622116,1477,25,3,False,0,pistol,,,,,,,27.302034036651218,1381.717341184616
51125,18,1494.1003612068102,2955,53,6,False,0,pistol,,,,,,,38.03277390656715,1459.4135794639587
54791,19,1719.2066949769512,3666,79,8,False,0,pistol,,,,,,,28.7297177438431,1587.0167396068573
57100,20,2009.3961184651723,2309,42,5,False,0,pistol,,,,,,,31.46257440592699,1660.4055984020233
61318,21,4200.706870902192,4218,82,9,False,0,pistol,,,,,,,33.60676096160739,1785.9161365032196
64437,22,1730.6034855771625,3119,61,7,False,0,pistol,,,,,,,29.93364707109124,1890.4226825237274
65669,23,742.9003083602187,1232,22,3,False,0,pistol,,,,,,,23.68466835274477,1942.4395554065704
69484,24,1994.4821643811908,3815,69,7,False,0,pistol,,,,,,,42.717948512864076,2031.746384382248
70231,25,21.668705407718186,747,12,2,False,0,pistol,,,,,,,19.0174838455534,2071.0261132717133
72211,26,800.5912864004694,1980,35,4,False,0,pistol,,,,,,,34.05428394437608,2129.1686799526215
75593,27,2285.0840614674244,3382,62,7,False,0,pistol,,,,,,,42.45904583864831,2208.821994781494
76427,28,533.8113656514842,834,15,2,False,0,pistol,,,,,,,21.55467554406022,2247.51438331604
77334,29,494.5936328809338,907,15,2,False,0,pistol,,,,,,,62.057836176856185,2262.1298666000366
81245,30,1309.983672716225,3911,87,9,False,0,pistol,,,,,,,33.699846241983046,2378.1838874816895
83612,31,1912.8977480203032,2367,46,5,False,0,pistol,,,,,,,31.852569989866126,2452.4951009750366
85530,32,1384.2160316792122,1918,37,4,False,0,pistol,,,,,,,31.150327788255517,2514.0675761699677
88382,33,1905.9169569110636,2852,52,6,False,0,pistol,,,,,,,25.087019409077524,2627.7520854473114
89509,34,532.2700302077661,1127,18,2,False,0,pistol,,,,,,,60.75091768383959,2646.303352832794
92577,35,1886.725225557712,3068,58,5,False,0,pistol,,,,,,,25.464723378546974,2766.7838776111603
95567,36,1219.9225213946477,2990,59,6,True,49,machinegun,,,,,,,38.90012808940318,2843.6474874019623
98262,37,1981.9734088550033,2695,53,6,False,0,pistol,,,,,,,37.7862442524659,2914.9698243141174
100933,38,2074.1468539679727,2671,50,5,False,0,pistol,,,,,,,26.815039632680556,3014.57820725441
103643,39,676.7981251812058,2710,52,6,False,0,pistol,,,,,,,38.91591433763312,3084.2156348228455
107169,40,1957.8109379232956,3526,68,6,False,0,pistol,,,,,,,32.11015810493251,3194.0252027511597
109833,41,2026.6684217506881,2664,52,6,False,0,pistol,,,,,,,38.267438327624205,3263.640611886978
112520,42,3251.502907144814,2687,51,6,False,0,pistol,,,,,,,38.437278009748,3333.549941301346
115090,43,1820.9389449849166,2570,49,5,False,0,pistol,,,,,,,26.928548511896693,3428.987799167633
117485,44,3203.3983306086325,2395,43,5,False,0,pistol,,,,,,,36.29479150550776,3494.9753139019012
120705,45,2295.1810514178947,3220,64,7,False,0,pistol,,,,,,,41.020336574804375,3573.473051548004
122043,46,1119.360994975435,1338,23,3,False,0,pistol,,,,,,,27.799925123203995,3621.6027476787567
122754,47,190.88960102527278,711,12,2,False,0,pistol,,,,,,,61.52298027563631,3633.1594820022583
125573,48,1694.1193025311834,2819,52,6,False,0,pistol,,,,,,,27.633699756429255,3735.1726853847504
127258,49,1121.9903020204758,1685,30,4,False,0,pistol,,,,,,,30.92674982327968,3789.656369447708
131442,50,1720.7692560195032,4184,88,9,False,0,pistol,,,,,,,34.29806513861579,3911.645833492279
133086,51,1032.8943351780995,1644,29,3,False,0,pistol,,,,,,,61.589165650755284,3938.3389298915863
135196,52,677.1901767623671,2110,39,4,False,0,pistol,,,,,,,23.9663444657959,4026.379159450531
139156,53,1672.7584286931144,3960,92,10,True,85,machinegun,,,,,,,43.24770115474213,4117.944810390472
141768,54,1224.0999516825323,2612,48,5,False,0,pistol,,,,,,,24.834752766583737,4223.120113134384
144786,55,1401.3400838086325,3018,58,6,False,0,pistol,,,,,,,33.83948578177797,4312.305989265442
147323,56,2528.4811221261325,2537,46,5,False,0,pistol,,,,,,,33.76207731916824,4387.449573278427
151696,57,2892.522365880761,4373,109,11,False,0,pistol,,,,,,,24.510921830655686,4565.859941244125
153534,58,1351.043229522567,1838,34,4,True,84,machinegun,,,,,,,60.8107390338105,4596.084967374802
157821,59,385.30264862308735,4287,108,9,True,41,machinegun,,,,,,,23.700462953128582,4776.967600345612
158878,60,756.4562749675101,1057,19,1,False,0,pistol,,,,,,,59.356094999274546,4794.775485038757
160651,61,1154.172224690957,1773,32,4,False,0,pistol,,,,,,,25.779854596439474,4863.55029630661
161846,62,608.633345398595,1195,22,3,False,0,pistol,,,,,,,20.40130796647641,4922.125085115433
163418,63,1129.2984530089043,1572,27,3,False,0,pistol,,,,,,,60.496769101026416,4948.110078573227
167894,64,2584.4675206893075,4476,94,10,True,77,machinegun,,,,,,,34.779123027858724,5076.808310270309
168953,65,732.6900117114646,1059,19,2,True,47,machinegun,,,,,,,24.840425821592614,5119.440511703491
172060,66,1694.2022887656792,3107,62,7,False,0,pistol,,,,,,,30.692987757448375,5220.6689257621765
174492,67,2056.9452212773285,2432,43,5,False,0,pistol,,,,,,,37.459982410470616,5285.591621160507
178362,68,2769.202869036916,3870,91,10,True,34,machinegun,,,,,,,33.919192793934265,5399.686400413513
178999,69,121.04445412675408,637,11,2,False,0,pistol,,,,,,,61.92849072491755,5409.9725341796875
181131,70,1515.9815986530436,2132,37,4,False,0,pistol,,,,,,,34.85386273454639,5471.1423189640045
185170,71,2055.416267429547,4039,75,8,True,84,machinegun,,,,,,,33.5697426617752,5591.459147691727
188736,72,-368.5973967057847,3566,79,8,True,119,machinegun,,,,,,,31.223573370175462,5705.667807340622
192114,73,2008.47273927998,3378,66,7,False,0,pistol,,,,,,,41.89138920683695,5786.3049783706665
194434,74,1239.1536790421214,2320,43,4,False,0,pistol,,,,,,,34.63851923075061,5853.2825355529785
197084,75,1103.0943681270778,2650,49,5,False,0,pistol,,,,,,,21.300173478211462,5977.694753646851
199431,76,1617.5179525245383,2347,44,4,False,0,pistol,,,,,,,37.06792801850131,6041.011025190353
202814,77,1646.1491150266402,3383,66,7,False,0,pistol,,,,,,,32.162465660952776,6146.195823431015
204330,78,1261.5316560013061,1516,27,3,False,0,pistol,,,,,,,62.04899413151411,6170.628231525421
206207,79,1258.8939308209906,1877,32,3,False,0,pistol,,,,,,,33.72587183652369,6226.282920360565
207626,80,903.2943145988562,1419,25,3,False,0,pistol,,,,,,,29.442255168553338,6274.479078292847
209892,81,1288.0436648890004,2266,44,5,False,0,pistol,,,,,,,36.64403856741785,6336.317320346832
212659,82,1181.7183039047975,2767,53,6,False,0,pistol,,,,,,,39.56122263468202,6406.2596254348755
216112,83,2664.1189134181586,3453,69,7,True,50,machinegun,,,,,,,32.373533912406785,6512.920908212662
219213,84,1786.2485244873155,3101,61,7,False,0,pistol,,,,,,,30.713200255831392,6613.887358427048
223558,85,2666.0509555025947,4345,82,9,False,0,pistol,,,,,,,35.98538539564455,6734.6309106349945
228012,86,2589.2553324295645,4454,94,9,False,0,pistol,,,,,,,36.38227392496312,6857.053251028061
231380,87,2713.2698788447983,3368,67,7,False,0,pistol,,,,,,,41.87570615225359,6937.481834411621
234747,88,2099.210722889373,3367,70,8,False,0,pistol,,,,,,,32.06956085181476,7042.472469091415
236518,89,957.7524725606676,1771,32,3,False,0,pistol,,,,,,,33.00577075486704,7096.129837036133
239014,90,1788.141768464265,2496,48,5,False,0,pistol,,,,,,,37.725731556254466,7162.291659832001
242436,91,2933.739521371058,3422,66,7,False,0,pistol,,,,,,,32.25835741268898,7268.372775793076
244384,92,2128.757184741308,1948,33,4,False,0,pistol,,,,,,,34.27898457413761,7325.2006759643555
248579,93,2928.5508199599903,4195,102,11,False,0,pistol,,,,,,,35.39543812402267,7443.718856334686
249163,94,329.0236984021531,584,11,2,False,0,pistol,,,,,,,61.924978171809784,7453.149706363678
249920,95,350.7453666111443,757,14,1,False,0,pistol,,,,,,,20.135191648537358,7490.74565243721
252768,96,2223.2288452965395,2848,55,6,False,0,pistol,,,,,,,39.866344579039286,7562.184455633163
253510,97,268.2628847445246,742,14,2,False,0,pistol,,,,,,,62.021715198177525,7574.148108720779
255845,98,1718.8233728737375,2335,42,5,False,0,pistol,,,,,,,37.06339051271343,7637.148367166519
258263,99,1262.9633821179023,2418,45,5,False,0,pistol,,,,,,,26.625200806845026,7727.964675188065
261174,100,1940.2800690595723,2911,57,6,False,0,pistol,,,,,,,40.261137150206935,7800.267746925354
265021,101,1205.2315478864252,3847,79,7,False,0,pistol,,,,,,,34.17245300886442,7912.843890428543
267064,102,1103.743494877898,2043,37,4,False,0,pistol,,,,,,,35.1251200864945,7971.007474899292
270581,103,1154.9508151685498,3517,76,8,False,0,pistol,,,,,,,32.70473120614783,8078.545513868332
271645,104,499.9733853822672,1064,20,3,False,0,pistol,,,,,,,61.85680714442786,8095.746630430222
274795,105,2070.7146826687526,3150,58,6,False,0,pistol,,,,,,,31.12894735367062,8196.93871831894
278295,106,2074.3727883863276,3500,70,8,False,0,pistol,,,,,,,42.83328091385422,8278.65096449852
279703,107,1072.9512936036674,1408,27,3,False,0,pistol,,,,,,,29.11271456705415,8327.01479101181
282564,108,2295.7900407358234,2861,52,6,False,0,pistol,,,,,,,39.85322306858822,8398.803304672241
285396,109,1186.1791665948156,2832,53,6,False,0,pistol,,,,,,,25.53359831942254,8509.716317176819
287648,110,513.9744206476905,2252,41,5,False,0,pistol,,,,,,,34.34173924638359,8575.292580604553
289698,111,1275.0351498215323,2050,36,4,False,0,pistol,,,,,,,33.39249047507052,8636.683715820312
292168,112,1431.5410912313957,2470,45,5,True,50,machinegun,,,,,,,37.12575024886782,8703.214431762695
294553,113,2213.0638244982947,2385,46,3,False,0,pistol,,,,,,,36.41087023541554,8768.716949224472
296396,114,2144.561881429785,1843,34,4,False,0,pistol,,,,,,,32.71944123349493,8825.044401168823
299392,115,1954.7717823507433,2996,60,6,False,0,pistol,,,,,,,29.52227197415916,8926.52719783783
