timestep,episode,episode_reward,episode_length,zombies_killed,wave,has_machinegun,mg_ammo,weapon,policy_loss,value_loss,entropy_loss,total_loss,clip_fraction,approx_kl,fps,elapsed_time
5200,1,2481.501999999969,5200,130,14,True,50,machinegun,,,,,,,20.090286955050278,258.8315453529358
8406,2,1107.2819999999904,3206,64,7,False,0,pistol,,,,,,,14.914746427833713,473.8596212863922
9855,3,986.037000000002,1449,25,3,False,0,pistol,,,,,,,61.55658852117117,497.39904499053955
11585,4,1001.1800000000023,1730,32,4,False,0,pistol,,,,,,,14.943362602582546,613.1696102619171
14533,5,1348.040999999994,2948,61,7,False,0,pistol,,,,,,,14.674252672391386,814.0657970905304
17795,6,1569.1110000000106,3262,61,7,False,0,pistol,,,,,,,24.758834916822728,945.8168303966522
20387,7,1132.1950000000002,2592,49,5,False,0,pistol,,,,,,,21.229142482893327,1067.9132416248322
22341,8,1337.1109999999908,1954,35,4,False,0,pistol,,,,,,,18.025913461068438,1176.3128397464752
25702,9,2179.671999999985,3361,68,7,False,0,pistol,,,,,,,15.787432479581396,1389.2038116455078
29101,10,1898.5680000000036,3399,73,6,False,0,pistol,,,,,,,15.857537408489348,1603.5499341487885
32609,11,2889.777000000022,3508,73,8,False,0,pistol,,,,,,,28.410582302264956,1727.0251338481903
36728,12,3353.720000000049,4119,83,9,False,0,pistol,,,,,,,21.267289340586526,1920.942367553711
37485,13,621.0929999999997,757,14,1,False,0,pistol,,,,,,,9.816840428370414,1998.3935692310333
39233,14,1262.6100000000033,1748,30,4,False,0,pistol,,,,,,,18.973893905148323,2090.520253419876
41786,15,2029.0309999999909,2553,44,5,False,0,pistol,,,,,,,24.39286323640252,2195.182097196579
44340,16,2429.119999999975,2554,49,5,False,0,pistol,,,,,,,24.34668026654605,2300.0835423469543
45669,17,863.4610000000026,1329,24,3,False,0,pistol,,,,,,,15.58741289322992,2385.34472489357
50239,18,3917.267999999981,4570,90,9,True,6,machinegun,,,,,,,21.14997161278215,2601.4207413196564
53684,19,2952.296000000005,3445,66,7,False,0,pistol,,,,,,,17.324126348320227,2800.540018558502
55730,20,1220.8399999999954,2046,38,4,False,0,pistol,,,,,,,21.231361669739638,2896.9069764614105
58269,21,945.1249999999981,2539,47,5,False,0,pistol,,,,,,,24.209565334784603,3001.7829682826996
61053,22,2215.4880000000067,2784,51,6,False,0,pistol,,,,,,,25.67167331257474,3110.229433298111
61966,23,425.1749999999997,913,14,2,False,0,pistol,,,,,,,11.34976072138464,3190.6717314720154
62474,24,-104.21000000000004,508,9,1,False,0,pistol,,,,,,,62.1469660620605,3198.8459856510162
64402,25,1573.4550000000013,1928,33,4,False,0,pistol,,,,,,,20.345779740059786,3293.6077315807343
66687,26,1426.3630000000016,2285,42,5,False,0,pistol,,,,,,,22.75272537027835,3394.035344362259
69733,27,3355.47999999999,3046,52,6,False,0,pistol,,,,,,,17.232390948862548,3570.7955758571625
71617,28,2246.939999999993,1884,34,4,False,0,pistol,,,,,,,62.01567586001955,3601.1750752925873
75526,29,4007.174999999988,3909,81,9,False,0,pistol,,,,,,,20.361293012060973,3793.1570711135864
78375,30,3278.9219999999914,2849,52,6,False,0,pistol,,,,,,,16.420883586975766,3966.8910727500916
80292,31,1682.1050000000173,1917,33,4,False,0,pistol,,,,,,,20.39614299731121,4060.8795087337494
83274,32,2546.541999999993,2982,57,6,False,0,pistol,,,,,,,26.88785528512789,4171.784689426422
85771,33,2488.3400000000015,2497,46,5,False,0,pistol,,,,,,,24.136062406206,4275.2399299144745
87879,34,2031.71299999998,2108,40,5,False,0,pistol,,,,,,,21.827029435040473,4371.817516326904
91362,35,4259.804999999974,3483,74,8,False,0,pistol,,,,,,,19.085642511788286,4554.310802221298
94224,36,3130.9090000000183,2862,54,6,False,0,pistol,,,,,,,16.626167420030377,4726.691106557846
100051,37,6516.131999999928,5827,147,15,True,116,machinegun,,,,,,,26.555628720539104,4946.117379188538
102308,38,1274.9300000000069,2257,42,5,False,0,pistol,,,,,,,22.546677652439385,5046.46768283844
103735,39,1432.731000000005,1427,27,3,False,0,pistol,,,,,,,16.68620748331352,5131.987498044968
105008,40,746.6100000000109,1273,23,3,False,0,pistol,,,,,,,15.31317090800583,5215.118623495102
108610,41,1659.669999999968,3602,69,7,False,0,pistol,,,,,,,19.769049791601812,5397.322712659836
109508,42,666.5540000000015,898,16,2,False,0,pistol,,,,,,,62.22169235417657,5411.7550637722015
