timestep,episode,episode_reward,episode_length,zombies_killed,wave,policy_loss,value_loss,entropy_loss,total_loss,clip_fraction,approx_kl,fps,elapsed_time
1753,1,103.3800000000035,1753,29,3,,,,,,,784.354472969503,2.234959602355957
2777,2,34.439999999999074,1024,16,2,,,,,,,220.96152672973164,6.8726420402526855
4266,3,79.31999999999928,1489,23,2,,,,,,,324.7779885707903,11.457531213760376
6055,4,106.73000000000306,1789,30,6,,,,,,,920.7234602449247,13.40078353881836
8115,5,151.46000000000754,2060,36,5,,,,,,,396.45802467113464,18.610838174819946
9880,6,129.31000000000373,1765,29,3,,,,,,,358.5438452451018,23.540791273117065
12005,7,167.38000000000665,2125,38,4,,,,,,,407.5100688806583,28.755613327026367
13578,8,88.21999999999868,1573,26,4,,,,,,,341.1710350368873,33.375943422317505
15014,9,83.5500000000007,1436,20,5,,,,,,,313.24026913295774,37.960434436798096
15824,10,11.479999999999933,810,12,3,,,,,,,905.1509248168057,38.855581521987915
17281,11,61.21999999999851,1457,22,3,,,,,,,322.18526722931205,43.377989292144775
18637,12,59.90999999999815,1356,21,2,,,,,,,312.97543087198153,47.71084475517273
19525,13,25.149999999999743,888,12,2,,,,,,,893.9333348534069,48.70451831817627
20636,14,49.17999999999925,1111,15,2,,,,,,,263.6037562193248,52.91935348510742
21643,15,38.00999999999917,1007,15,2,,,,,,,787.743520602045,54.19789171218872
22903,16,55.029999999998374,1260,20,2,,,,,,,285.1214820037271,58.61727261543274
24567,17,92.6399999999994,1664,24,2,,,,,,,892.6111163902777,60.481688499450684
25673,18,48.41999999999878,1106,15,2,,,,,,,262.1552737434063,64.7007143497467
26787,19,49.34999999999893,1114,16,2,,,,,,,270.7324649414714,68.81566858291626
27877,20,51.99999999999953,1090,18,2,,,,,,,871.3769088685325,70.06675910949707
28834,21,22.499999999999453,957,15,2,,,,,,,239.89246943214687,74.05629324913025
29642,22,6.329999999999991,808,12,3,,,,,,,921.1102449328708,74.93377256393433
30742,23,37.639999999999034,1100,16,2,,,,,,,263.91598591223,79.10194158554077
31087,24,-33.420000000000016,345,3,1,,,,,,,892.8577299130365,79.48850631713867
31363,25,-40.180000000000064,276,3,1,,,,,,,743.2922661841633,79.86000275611877
32485,26,50.729999999999436,1122,17,6,,,,,,,910.3578028113868,81.09263730049133
33060,27,-8.120000000000033,575,8,1,,,,,,,159.22376555150657,84.70410680770874
33841,28,4.02999999999988,781,8,1,,,,,,,912.1192772771786,85.56054043769836
34618,29,3.2299999999999827,777,11,1,,,,,,,919.3828852375956,86.40590786933899
35079,30,-20.450000000000077,461,5,1,,,,,,,127.95684244401632,90.00890803337097
35516,31,-22.98000000000008,437,7,1,,,,,,,890.6229065942342,90.49976515769958
36185,32,1.8199999999999434,669,9,1,,,,,,,922.2683206205976,91.22535467147827
36632,33,-26.77000000000004,447,4,1,,,,,,,908.0453215312145,91.71789693832397
37017,34,-28.4900000000001,385,5,1,,,,,,,114.2103605914017,95.08905744552612
37299,35,-39.88000000000008,282,2,1,,,,,,,887.666065279975,95.40695714950562
37724,36,-29.080000000000087,425,6,1,,,,,,,924.1419211551442,95.8669970035553
38053,37,-34.57000000000008,329,4,1,,,,,,,936.1117098929248,96.21868228912354
38520,38,-29.8100000000001,467,7,1,,,,,,,909.4754327778714,96.73237562179565
39349,39,19.09999999999974,829,10,1,,,,,,,216.79710360081498,100.55654239654541
40229,40,25.07999999999946,880,11,2,,,,,,,912.6263105293843,101.52100729942322
40932,41,-4.560000000000102,703,11,3,,,,,,,926.3239663034481,102.28010606765747
41378,42,-32.36000000000007,446,6,1,,,,,,,129.95061144865517,105.71239614486694
