timestep,episode,episode_reward,episode_length,zombies_killed,wave,has_machinegun,mg_ammo,weapon,policy_loss,value_loss,entropy_loss,total_loss,clip_fraction,approx_kl,fps,elapsed_time
1675,1,399.6099999999971,1675,29,3,False,0,knife,,,,,,,89.50167134242521,18.714736938476562
4792,2,1428.2549999999978,3117,63,7,True,162,knife,,,,,,,60.83728014526144,69.96536540985107
5140,3,-264.3500000000002,348,4,1,False,0,knife,,,,,,,66.60616355045403,75.23661065101624
5625,4,-255.1899999999998,485,7,1,False,0,knife,,,,,,,67.07707416915417,82.46764397621155
7344,5,385.3000000000034,1719,29,3,False,0,knife,,,,,,,42.22062155180978,123.18286395072937
7522,6,-262.6999999999998,178,1,1,False,0,knife,,,,,,,69.26147965904832,125.75336694717407
9544,7,913.315999999997,2022,36,4,True,141,machinegun,,,,,,,46.92850920694365,168.84081196784973
10279,8,17.46999999999923,735,11,2,False,0,pistol,,,,,,,41.72618927817296,186.45615577697754
11358,9,8.450000000000298,1079,19,2,False,0,knife,,,,,,,104.13422422838717,196.8182818889618
12629,10,271.6459999999994,1271,22,2,True,43,pistol,,,,,,,38.1691700689879,230.11791825294495
14035,11,561.696999999999,1406,22,3,True,36,machinegun,,,,,,,77.46906397590148,248.26773357391357
15076,12,169.76000000000022,1041,18,2,True,48,knife,,,,,,,50.76870775817681,268.7732286453247
15922,13,466.8700000000009,846,14,2,False,0,knife,,,,,,,96.55804773852581,277.5353572368622
17320,14,816.1560000000002,1398,24,3,True,44,knife,,,,,,,54.90440701718391,302.9983916282654
18005,15,250.46999999999989,685,11,2,False,0,pistol,,,,,,,88.7175661228195,310.7201626300812
18431,16,-302.2199999999997,426,6,1,False,0,pistol,,,,,,,87.39688252438496,315.5949635505676
19060,17,-384.09000000000015,629,9,1,True,37,knife,,,,,,,39.38216259714338,331.56722617149353
19328,18,-294.2499999999997,268,2,1,False,0,knife,,,,,,,85.80934927939362,334.6908485889435
20157,19,-224.39499999999964,829,13,2,False,0,pistol,,,,,,,105.368261112996,342.5590784549713
