timestep,episode,episode_reward,episode_length,zombies_killed,wave,has_machinegun,mg_ammo,weapon,policy_loss,value_loss,entropy_loss,total_loss,clip_fraction,approx_kl,fps,elapsed_time
835,1,-352.0500000000003,835,14,2,False,0,pistol,,,,,,,180.48100559364556,4.626528024673462
3193,2,-986.9499999999998,2358,43,5,False,0,pistol,,,,,,,97.9280523692461,28.72389006614685
5241,3,-689.8500000000031,2048,36,4,True,45,machinegun,,,,,,,98.31339839845225,49.556448221206665
5784,4,-366.5999999999998,543,8,1,False,0,pistol,,,,,,,129.832982685607,53.73934292793274
6977,5,-448.70000000000147,1193,19,2,False,0,pistol,,,,,,,70.41482653022956,70.68264985084534
9044,6,-981.8999999999996,2067,34,4,False,0,pistol,,,,,,,93.88520396383737,92.69955515861511
9580,7,-373.19999999999993,536,8,1,False,0,pistol,,,,,,,187.9158563116083,95.55237603187561
10947,8,-257.65000000000106,1367,22,3,True,41,machinegun,,,,,,,89.32769582639234,110.85619974136353
11723,9,-181.94999999999993,776,11,2,True,49,machinegun,,,,,,,179.96847513209363,115.19730472564697
12680,10,-309.9500000000013,957,15,2,False,0,pistol,,,,,,,80.78159680844634,127.07067275047302
13969,11,-173.80000000000047,1289,20,3,False,0,pistol,,,,,,,222.07020233334697,132.87563228607178
15083,12,-224.94999999999953,1114,16,1,True,46,machinegun,,,,,,,103.43707881911055,143.6733114719391
16188,13,-488.750000000002,1105,15,1,False,0,pistol,,,,,,,237.7353316200257,148.32180881500244
16968,14,-259.54999999999984,780,11,2,False,0,pistol,,,,,,,95.10686056906138,156.5235035419464
17961,15,-313.00000000000153,993,14,2,False,0,pistol,,,,,,,251.62498901202602,160.4704658985138
18920,16,-256.44999999999953,959,15,2,False,0,pistol,,,,,,,102.29796413106672,169.84550070762634
19956,17,-331.45,1036,16,2,False,0,pistol,,,,,,,239.95995147896278,174.16336870193481
21478,18,-109.70000000000206,1522,24,3,False,0,pistol,,,,,,,116.59105318051128,187.21799278259277
22527,19,-390.0500000000014,1049,14,2,False,0,pistol,,,,,,,264.079344116042,191.2108817100525
24033,20,-98.55000000000132,1506,24,3,False,0,pistol,,,,,,,122.6605749950429,203.48918747901917
24762,21,-351.5500000000006,729,9,1,False,0,pistol,,,,,,,89.75536162223128,211.63240385055542
27084,22,-785.4499999999996,2322,40,5,False,0,pistol,,,,,,,135.22529880626615,228.8042516708374
27950,23,-464.3000000000002,866,13,2,False,0,pistol,,,,,,,230.71462687894407,232.55833745002747
29321,24,-516.5999999999977,1371,20,3,False,0,pistol,,,,,,,81.73388201894781,249.33271622657776
30688,25,-375.6000000000021,1367,23,3,False,0,pistol,,,,,,,201.7031225951816,256.1104733943939
32135,26,-389.60000000000025,1447,22,3,False,0,pistol,,,,,,,106.97683173713622,269.6373362541199
34245,27,-551.2000000000021,2110,38,4,False,0,pistol,,,,,,,147.11388450455348,283.9805061817169
36403,28,-481.3000000000038,2158,35,3,False,0,pistol,,,,,,,128.68988236927996,300.7500636577606
37656,29,-418.90000000000066,1253,20,2,False,0,pistol,,,,,,,101.35987536244295,313.1124122142792
40285,30,-694.7000000000032,2629,48,5,False,0,pistol,,,,,,,145.90775860892907,331.1312675476074
43363,31,-951.6000000000004,3078,59,6,True,29,machinegun,,,,,,,103.80549021222282,360.7834303379059
44864,32,-310.09999999999974,1501,26,3,False,0,pistol,,,,,,,210.42106383716168,367.91754722595215
45913,33,-266.70000000000067,1049,16,2,False,0,pistol,,,,,,,116.10583415189005,376.95283484458923
48633,34,-216.9500000000005,2720,46,5,False,0,pistol,,,,,,,148.1954688286864,395.3073887825012
49622,35,-518.4000000000015,989,14,2,False,0,pistol,,,,,,,93.90436763178579,405.84002351760864
51537,36,-141.55000000000047,1915,32,4,False,0,pistol,,,,,,,125.79317796592385,421.0639247894287
53236,37,-404.0500000000003,1699,27,2,False,0,pistol,,,,,,,211.34403557256982,429.10360383987427
56414,38,-925.1999999999977,3178,59,6,False,0,pistol,,,,,,,126.56539526987655,454.21369647979736
57818,39,-296.40000000000134,1404,24,3,False,0,pistol,,,,,,,113.58741585974916,466.5747721195221
59355,40,-380.65000000000117,1537,26,2,False,0,pistol,,,,,,,196.1956118544826,474.40936517715454
60967,41,9.699999999998035,1612,28,3,False,0,pistol,,,,,,,88.45377592164135,492.6340711116791
63314,42,-288.6500000000008,2347,41,5,True,49,machinegun,,,,,,,158.06681956365765,507.51547479629517
65523,43,-280.75000000000216,2209,36,4,False,0,pistol,,,,,,,159.25333914527053,521.3869385719299
68936,44,-858.4499999999917,3413,70,7,False,0,pistol,,,,,,,124.25987793606045,548.8539879322052
70593,45,-118.8500000000007,1657,28,2,True,92,machinegun,,,,,,,112.81376892652125,563.5425584316254
73087,46,-610.3499999999991,2494,45,5,False,0,pistol,,,,,,,141.49321613058189,581.1693255901337
75408,47,-128.60000000000292,2321,38,2,False,0,pistol,,,,,,,145.7161580099337,597.0983054637909
77375,48,-504.4500000000012,1967,33,4,True,37,machinegun,,,,,,,129.08244180816203,612.3372375965118
79547,49,-161.55000000000166,2172,38,4,False,0,pistol,,,,,,,131.2764792086154,628.8828835487366
80840,50,-279.8000000000016,1293,21,3,False,0,pistol,,,,,,,107.2355758484709,640.941077709198
