timestep,episode,episode_reward,episode_length,zombies_killed,wave,has_machinegun,mg_ammo,weapon,policy_loss,value_loss,entropy_loss,total_loss,clip_fraction,approx_kl,fps,elapsed_time
2668,1,1985.250982052153,2668,52,6,False,0,pistol,,,,,,,41.72776446121287,63.93824553489685
5746,2,1939.3340453801234,3078,61,6,False,0,pistol,,,,,,,41.76349401742056,137.68970394134521
7854,3,1485.362267549278,2108,38,4,False,0,pistol,,,,,,,36.10219470783274,196.07961344718933
10523,4,2301.772347813624,2669,49,3,False,0,pistol,,,,,,,28.35327789319712,290.2134485244751
13996,5,3414.4144652241807,3473,69,7,False,0,pistol,,,,,,,37.693472095210055,382.58321714401245
16223,6,803.5114050890523,2227,40,5,False,0,pistol,,,,,,,32.49320661498244,451.4426939487457
19762,7,-8002.943505092633,3539,65,7,False,0,pistol,,,,,,,30.578006800754817,567.1795735359192
22396,8,-40269.368715231496,2634,50,6,False,0,pistol,,,,,,,36.81455194314782,638.7275166511536
25248,9,-48078.95122468578,2852,56,6,False,0,pistol,,,,,,,27.307402170347856,743.1682095527649
27176,10,-17751.726692025404,1928,35,3,False,0,pistol,,,,,,,32.464308929263964,802.5566000938416
29213,11,-21585.775587985267,2037,37,4,False,0,pistol,,,,,,,32.83782597148866,864.5888102054596
32089,12,-46928.986983856885,2876,56,6,False,0,pistol,,,,,,,37.04788345060922,942.2181761264801
32699,13,-2385.594438910049,610,11,2,False,0,pistol,,,,,,,62.20469178446966,952.0246479511261
35627,14,-49455.64315923571,2928,57,6,False,0,pistol,,,,,,,29.016158809352824,1052.9340102672577
36985,15,-5045.601045584469,1358,25,3,False,0,pistol,,,,,,,29.036271200804325,1099.7032017707825
40418,16,-53613.13231273227,3433,67,7,False,0,pistol,,,,,,,41.655822195913544,1182.116729259491
41384,17,-3158.408478808171,966,16,2,False,0,pistol,,,,,,,23.236499069819757,1223.6893632411957
45046,18,-77035.40135392244,3662,73,8,False,0,pistol,,,,,,,39.898982235923036,1315.4712507724762
46579,19,-12098.964229715157,1533,28,3,False,0,pistol,,,,,,,27.459165928097455,1371.2997698783875
48965,20,-23567.61096546679,2386,46,4,False,0,pistol,,,,,,,34.330704185288205,1440.8003406524658
51111,21,-17357.37146959426,2146,39,4,False,0,pistol,,,,,,,32.52770814009604,1506.7749540805817
52928,22,-13208.389450824545,1817,32,4,False,0,pistol,,,,,,,30.120383266123614,1567.0996503829956
53721,23,-2207.0212029898908,793,13,2,False,0,pistol,,,,,,,17.834784346621646,1611.5634274482727
55800,24,-20279.9559175449,2079,38,4,False,0,pistol,,,,,,,32.02913348747428,1676.4731786251068
57250,25,-7851.436860643916,1450,26,3,False,0,pistol,,,,,,,62.028221208142575,1699.8497321605682
60906,26,-76278.55544129481,3656,76,8,False,0,pistol,,,,,,,29.92159912252834,1822.0358247756958
64357,27,-71244.2103557642,3451,73,8,False,0,pistol,,,,,,,30.081437737853356,1936.7578346729279
67978,28,-79864.64990452137,3621,69,7,True,49,machinegun,,,,,,,27.715446045228614,2067.407105922699
