timestep,episode,episode_reward,episode_length,zombies_killed,wave,has_machinegun,mg_ammo,weapon,policy_loss,value_loss,entropy_loss,total_loss,clip_fraction,approx_kl,fps,elapsed_time
3054458,1,903.6486414414461,2938,56,5,False,0,pistol,,,,,,,479.66941770189084,6.1250526905059814
3056372,2,667.7515150440636,1914,35,4,False,0,pistol,,,,,,,467.3283037658653,10.236643314361572
3058099,3,331.6983843352855,1727,26,3,False,0,pistol,,,,,,,488.97851989747573,13.768653154373169
3061022,4,1091.0924165062897,2923,53,6,False,0,pistol,,,,,,,546.6293229647529,19.116154193878174
3063038,5,457.62844415743035,2016,35,4,False,0,pistol,,,,,,,521.6586180321756,22.994892835617065
3064305,6,226.61832663057524,1267,20,3,False,0,pistol,,,,,,,403.4144943334895,26.135738134384155
3065646,7,258.53999999999553,1341,21,3,False,0,pistol,,,,,,,904.2234083342618,27.61902642250061
3066869,8,201.50999999999925,1223,19,2,False,0,pistol,,,,,,,409.1775090095275,30.608139276504517
3068593,9,342.7751769455434,1724,26,3,False,0,pistol,,,,,,,494.75443875869456,34.092970848083496
3069761,10,183.4000000000009,1168,17,2,False,0,pistol,,,,,,,707.8761898307769,35.7432062625885
3070965,11,271.505866022194,1204,20,3,True,32,machinegun,,,,,,,314.32050166874984,39.57392740249634
3072513,12,322.56999999999306,1548,26,3,False,0,pistol,,,,,,,410.32365350814774,43.346757650375366
3074131,13,317.5677513629244,1618,25,3,False,0,pistol,,,,,,,466.1296797500708,46.81808567047119
3075849,14,412.80429438455195,1718,29,3,True,41,machinegun,,,,,,,868.1594114773247,48.79718732833862
3078903,15,924.8552180670035,3054,54,6,True,42,machinegun,,,,,,,429.5141806458349,55.907708168029785
3081568,16,1045.5500914806835,2665,51,6,True,49,machinegun,,,,,,,565.2938654969377,60.62227773666382
3083998,17,555.8643125994101,2430,41,5,False,0,pistol,,,,,,,537.0904515900228,65.14692282676697
3085505,18,500.5192258029794,1507,26,3,False,0,pistol,,,,,,,430.18625530925584,68.65019750595093
3087073,19,296.44206377708065,1568,24,3,False,0,pistol,,,,,,,420.57622882136604,72.378657579422
3089666,20,750.1599277152227,2593,45,5,True,8,machinegun,,,,,,,590.8156219607573,76.76772952079773
3091727,21,767.2078193469653,2061,35,4,True,11,machinegun,,,,,,,548.849062104766,80.52313780784607
3094817,22,775.1170479916999,3090,57,6,False,0,pistol,,,,,,,477.90928211719677,86.98903441429138
3097815,23,1044.3138238991241,2998,60,6,True,97,machinegun,,,,,,,619.4879624369644,91.82879304885864
3100552,24,1095.587208041055,2737,53,6,False,0,pistol,,,,,,,604.8309855615288,96.35427713394165
3102702,25,549.7048417980996,2150,37,4,True,34,machinegun,,,,,,,516.55052363604,100.53134989738464
3104125,26,290.04959562518934,1423,24,3,False,0,pistol,,,,,,,450.9580736679611,103.68712282180786
3106788,27,1004.7212159926395,2663,44,5,False,0,pistol,,,,,,,594.2721672006255,108.16842293739319
3108198,28,268.09682036485947,1410,22,3,False,0,pistol,,,,,,,460.3960485758553,111.23127055168152
3110056,29,409.71353333208845,1858,32,4,False,0,pistol,,,,,,,533.1875035021784,114.71626210212708
3112180,30,493.8350455477804,2124,38,4,False,0,pistol,,,,,,,546.1383888310622,118.60562324523926
3114383,31,564.3662680344884,2203,40,5,False,0,pistol,,,,,,,559.2697111509161,122.54492378234863
3116328,32,426.9156626579115,1945,33,4,False,0,pistol,,,,,,,533.5243488396093,126.19087862968445
3118293,33,439.8238976113172,1965,34,4,False,0,pistol,,,,,,,531.1100956645595,129.89090728759766
3120055,34,559.6078054674681,1762,29,3,False,0,pistol,,,,,,,500.2454499026126,133.4133951663971
3121684,35,332.02561711944657,1629,26,3,False,0,pistol,,,,,,,491.0945740633006,136.73068809509277
3122835,36,227.5017529294177,1151,17,2,True,91,machinegun,,,,,,,932.5475578316785,137.96518850326538
