timestep,episode,episode_reward,episode_length,zombies_killed,wave,policy_loss,value_loss,entropy_loss,total_loss,clip_fraction,approx_kl,fps,elapsed_time
1841,1,112.61000000000362,1841,33,6,,,,,,,714.5621510284311,2.576403856277466
2831,2,51.589999999999165,990,16,2,,,,,,,201.2718753258205,7.505021333694458
5070,3,180.22000000000745,2239,42,6,,,,,,,388.876113696359,13.262868404388428
6138,4,44.5299999999991,1068,16,2,,,,,,,882.4416864728565,14.481138706207275
7519,5,73.70000000000078,1381,20,3,,,,,,,298.81123234370887,19.10301160812378
8894,6,77.6799999999987,1375,19,3,,,,,,,259.8145733934741,24.395487070083618
9427,7,-12.610000000000078,533,8,1,,,,,,,702.2862783066197,25.154644012451172
10163,8,9.149999999999835,736,9,1,,,,,,,807.9788811025547,26.065747022628784
10704,9,-11.530000000000094,541,7,1,,,,,,,131.1943202127168,30.189545392990112
12249,10,96.34000000000229,1545,24,4,,,,,,,865.424573160512,31.975017547607422
12888,11,-11.590000000000021,639,10,1,,,,,,,169.14386112655194,35.753074407577515
13953,12,34.5699999999997,1065,17,3,,,,,,,671.1222150156019,37.34015107154846
15174,13,51.439999999998975,1221,20,3,,,,,,,249.98361999857173,42.224613666534424
16168,14,37.299999999999216,994,16,2,,,,,,,721.9463152260514,43.601616621017456
17785,15,94.1199999999995,1617,25,3,,,,,,,313.63188978371517,48.757572412490845
19095,16,65.91999999999874,1310,19,2,,,,,,,273.87860042304965,53.540985345840454
20263,17,45.6299999999994,1168,18,3,,,,,,,769.9707037048737,55.05808925628662
21295,18,40.889999999999354,1032,16,2,,,,,,,229.39614440463825,59.557167291641235
22422,19,51.42999999999902,1127,16,2,,,,,,,769.7718941726221,61.021453619003296
23653,20,62.81999999999885,1231,20,1,,,,,,,256.9183031072646,65.81303095817566
24726,21,50.52999999999906,1073,16,3,,,,,,,240.78899771430423,70.26941394805908
25637,22,27.86999999999955,911,13,2,,,,,,,770.7910649816764,71.45154881477356
26608,23,39.41999999999926,971,15,3,,,,,,,730.2362413787291,72.78143429756165
28084,24,79.20000000000128,1476,22,2,,,,,,,294.10961539283784,77.8001172542572
29165,25,41.519999999999044,1081,17,2,,,,,,,246.16748005052304,82.1917200088501
31121,26,140.56000000000586,1956,32,4,,,,,,,362.5177136625428,87.5875780582428
32295,27,56.429999999999005,1174,17,2,,,,,,,775.8068657018355,89.10108757019043
33260,28,34.39999999999948,965,15,2,,,,,,,224.2184261801815,93.40512490272522
33985,29,8.059999999999789,725,11,1,,,,,,,842.887593751334,94.26547122001648
35018,30,31.369999999999187,1033,16,2,,,,,,,237.25616167200496,98.61960554122925
36387,31,83.08999999999881,1369,22,3,,,,,,,896.5608077850553,100.14680075645447
37883,32,81.52999999999955,1496,23,3,,,,,,,314.9088009546014,104.89762997627258
38564,33,3.289999999999914,681,10,3,,,,,,,890.8125705225326,105.66229367256165
39368,34,16.539999999999573,804,13,2,,,,,,,204.7110958242091,109.59001898765564
41696,35,181.3600000000099,2328,39,6,,,,,,,378.07724332578846,115.74771332740784
42752,36,29.099999999999106,1056,16,1,,,,,,,898.7008287221634,116.93616461753845
44935,37,165.73000000000928,2183,37,5,,,,,,,404.6944964091085,122.33054065704346
46780,38,129.17000000000496,1845,31,4,,,,,,,358.40448887735965,127.47855949401855
49083,39,168.7200000000097,2303,42,5,,,,,,,405.30296077938146,133.16096353530884
