timestep,episode,episode_reward,episode_length,zombies_killed,wave,has_machinegun,mg_ammo,weapon,policy_loss,value_loss,entropy_loss,total_loss,clip_fraction,approx_kl,fps,elapsed_time
2194,1,-486.6999999999961,2194,39,4,False,0,pistol,,,,,,,138.20050271368373,15.875487327575684
3322,2,-478.8000000000015,1128,19,2,False,0,pistol,,,,,,,277.83222255446805,19.96865940093994
5276,3,-6.50000000000183,1954,30,4,False,0,pistol,,,,,,,150.47413131519008,32.97465538978577
6810,4,-794.1499999999944,1534,24,3,False,0,pistol,,,,,,,141.31657974229105,43.85348081588745
8483,5,-320.24999999999926,1673,26,3,True,42,machinegun,,,,,,,155.86857477026055,54.587311029434204
10078,6,-248.70000000000155,1595,23,3,False,0,pistol,,,,,,,284.873949551205,60.18666315078735
11184,7,-90.40000000000046,1106,18,2,False,0,pistol,,,,,,,125.52859591554339,68.99777102470398
12009,8,-418.0000000000001,825,11,2,False,0,pistol,,,,,,,288.7360908681965,71.85545444488525
14004,9,-243.40000000000066,1995,35,4,False,0,pistol,,,,,,,175.36503163246454,83.2322187423706
15204,10,-205.39999999999995,1200,18,2,False,0,pistol,,,,,,,138.66674895114838,91.88649940490723
15703,11,-257.64999999999964,499,7,1,False,0,pistol,,,,,,,305.7124684713951,93.51915216445923
16366,12,-376.30000000000035,663,9,1,False,0,pistol,,,,,,,297.69838659931827,95.7466766834259
17876,13,-161.90000000000035,1510,23,3,False,0,pistol,,,,,,,157.19851327821794,105.35273122787476
19324,14,-460.2000000000007,1448,23,3,False,0,pistol,,,,,,,154.88823170690654,114.70182538032532
21899,15,-249.85000000000068,2575,43,5,False,0,pistol,,,,,,,195.11282720000005,127.8997573852539
23948,16,-343.4500000000002,2049,35,4,False,0,pistol,,,,,,,182.82722244174113,139.10745191574097
25318,17,-281.35000000000196,1370,22,3,False,0,pistol,,,,,,,152.10197101108616,148.11497926712036
26165,18,-199.7499999999997,847,11,2,False,0,pistol,,,,,,,294.4000530364617,150.9924511909485
27214,19,-158.4499999999996,1049,18,2,False,0,pistol,,,,,,,130.29763195062992,159.04367327690125
27743,20,-266.14999999999986,529,6,1,False,0,pistol,,,,,,,301.0277600310961,160.80147433280945
28118,21,-277.79999999999984,375,6,1,False,0,pistol,,,,,,,306.79690960724065,162.02422189712524
29056,22,-343.35000000000167,938,13,2,False,0,pistol,,,,,,,123.55369431076824,169.61647248268127
30253,23,-215.55000000000194,1197,21,3,False,0,pistol,,,,,,,293.16492715053596,173.70003271102905
31897,24,-464.449999999999,1644,25,3,False,0,pistol,,,,,,,166.48366956362136,183.57522630691528
33257,25,-308.6499999999999,1360,21,3,False,0,pistol,,,,,,,143.48182623321856,193.05421042442322
33679,26,-64.3000000000002,422,6,1,False,0,pistol,,,,,,,291.45835660613983,194.50250005722046
34279,27,-141.24999999999974,600,9,1,False,0,pistol,,,,,,,291.54906129836974,196.56084942817688
35198,28,-247.0999999999995,919,13,2,True,48,machinegun,,,,,,,115.2305431542948,204.53650617599487
36983,29,-271.45000000000135,1785,28,3,False,0,pistol,,,,,,,167.00831542439363,215.22506546974182
38812,30,-584.1999999999982,1829,28,3,False,0,pistol,,,,,,,294.5433339362641,221.4351601600647
40831,31,-441.2499999999991,2019,35,4,False,0,pistol,,,,,,,180.04205742432464,232.64954829216003
41734,32,-236.14999999999995,903,13,2,True,16,machinegun,,,,,,,114.75054224230315,240.5192482471466
43418,33,-229.75000000000003,1684,26,3,False,0,pistol,,,,,,,162.99402688207675,250.851478099823
